ACTIVITY_NAME,SUBJECT,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyAccMag-mean(),tGravityAccMag-mean(),tBodyAccJerkMag-mean(),tBodyGyroMag-mean(),tBodyGyroJerkMag-mean(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyAccMag-mean(),fBodyBodyAccJerkMag-mean(),fBodyBodyGyroMag-mean(),fBodyBodyGyroJerkMag-mean(),tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-std(),tGravityAccMag-std(),tBodyAccJerkMag-std(),tBodyGyroMag-std(),tBodyGyroJerkMag-std(),fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-std(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-std()
LAYING,1,1.98106483,-1.94925901,-1.348510122,-3.6211781,6.609013806,4.4581771980000005,5.814996724,1.551783734,0.16812542800000002,-1.1220719600000002,-5.250133842,4.805742306,-5.219144141999999,-3.411398814,-4.917973782,-8.582109184,-8.582109184,-9.543962646,-8.74759548,-9.6346103,-9.390990524,-8.618400462,-8.826668762,-9.570738838,-9.224626098,-9.480609042,-8.547608516,-9.521914948,-9.093027209999999,-8.78295474,-9.333003608,-8.621901854,-9.423669466,-9.280564692,-8.188377666,-8.225334224000001,-8.968300184,-8.95217246,-8.449564122,-9.58482112,-9.241492736,-9.548551108,-8.881768654,-9.510904402,-9.082846626,-9.186085208,-9.679072436,-9.577901596,-7.9658455660000005,-7.9658455660000005,-9.282456284,-8.165685342,-9.358409828,-9.244374346,-8.560260764,-8.04905084,-9.641607086,-9.322178704,-9.605869872,-8.822964508,-9.512320494,-9.165825082,-7.823609324,-9.218039756,-8.303243502,-9.326606676
LAYING,2,2.8137340395833332,-1.8750820395833332,-2.5049141791666667,-5.09754238125,7.52536639375,6.468348795833333,7.188719716666666,3.15626063125,-0.03612231875000002,-2.528261825,-5.660436945833333,6.728294616666666,-6.847474277083333,-3.7521976708333336,-5.384985389583333,-9.774354852083333,-9.774354852083333,-9.877416960416667,-9.500115695833333,-9.917670741666667,-9.767250597916666,-9.798008779166667,-9.84380981875,-9.858136308333334,-9.827682504166667,-9.861971345833334,-9.864311425,-9.833216354166666,-9.626718875,-9.751101964583334,-9.853741147916667,-9.721129727083333,-9.902487022916667,-9.740594647916666,-9.8027739875,-9.84233296875,-9.590144414583333,-9.882118652083333,-9.84230418125,-9.8587216875,-9.8317254125,-9.88442014375,-9.882752329166667,-9.822916089583334,-9.603065604166668,-9.932358491666667,-9.895675379166667,-9.880358212500001,-9.728739129166668,-9.728739129166668,-9.8551807625,-9.611640539583334,-9.897180952083334,-9.732464820833334,-9.81025105625,-9.84792185,-9.872502558333334,-9.849873929166668,-9.893453685416667,-9.888606858333334,-9.819106164583333,-9.631742222916667,-9.751213879166666,-9.845684891666666,-9.6109837875,-9.894926604166667
LAYING,3,2.7551685274193547,-2.03662199516129,-3.046395764516129,-2.417584780645161,8.370320996774193,4.887031851612903,7.3285831612903225,3.2456819612903223,-0.9468092483870968,-2.2397508983870966,-6.550227337096774,6.864850367741935,-6.152489251612903,-3.8977176532258064,-4.929052243548387,-9.727913461290322,-9.727913461290322,-9.794845933870967,-9.515647514516129,-9.867136251612903,-9.80665609032258,-9.611699829032258,-9.683321416129033,-9.805132022580645,-9.687521137096775,-9.791223443548388,-9.701672629032258,-9.780996822580645,-9.623419608064516,-9.655242751612903,-9.759495979032257,-9.645867248387097,-9.842782512903225,-9.827766391935484,-9.62057544516129,-9.636910348387097,-9.825121930645162,-9.812027496774194,-9.648075438709677,-9.808793148387096,-9.687107246774193,-9.820931629032257,-9.745457520967742,-9.772726537096775,-9.63505609032258,-9.80328645,-9.86762741935484,-9.83338279516129,-9.64218176451613,-9.64218176451613,-9.761212979032258,-9.54275110967742,-9.831392556451613,-9.83691129032258,-9.640946041935484,-9.632790801612902,-9.831226159677419,-9.710440127419355,-9.837119046774193,-9.759864337096774,-9.77032495483871,-9.672568541935483,-9.68350217419355,-9.753053779032259,-9.554418558064516,-9.825681580645162
LAYING,4,2.822617214814815,-1.3743127222222222,-1.4272387981481482,-4.206646622222222,9.151651042592592,3.4153131055555557,7.109449327777778,2.6288172351851853,-0.1174605907407408,-1.9589688555555556,-6.141093359259259,6.771891759259259,-6.3621898018518515,-3.812304322222222,-4.77438295,-9.545576031481481,-9.545576031481481,-9.700957716666666,-9.302364625925925,-9.85068502037037,-9.588020775925926,-9.388833744444446,-9.67504278888889,-9.785424574074074,-9.439699872222223,-9.753833294444444,-9.672037364814814,-9.721878390740741,-9.614792625925926,-9.393897012962963,-9.622871253703703,-9.615566601851851,-9.836090733333334,-9.541937388888888,-9.417140424074073,-9.626673148148148,-9.21199965925926,-9.698166357407407,-9.761766088888889,-9.783027811111111,-9.422094883333333,-9.785119842592593,-9.731024222222223,-9.611092918518517,-9.62073755,-9.751032042592593,-9.868556298148148,-9.839653598148148,-9.354107611111111,-9.354107611111111,-9.607864307407407,-9.470317816666666,-9.826982137037037,-9.524648814814816,-9.46380971111111,-9.621544542592593,-9.800792925925926,-9.443668816666667,-9.802612362962963,-9.750947394444445,-9.561825001851851,-9.658074666666666,-9.51602222962963,-9.580371192592592,-9.471003251851853,-9.825436316666668
LAYING,5,2.7833432557692306,-1.8304212326923077,-1.771196069230769,-4.834705976923077,9.548903461538462,2.636446919230769,6.907345846153846,3.282810475,-1.1442084923076923,-2.4206374019230767,-6.205893898076923,6.382362982692308,-5.803941084615384,-4.0111004807692305,-5.048754823076923,-9.667778828846155,-9.667778828846155,-9.80141253846154,-9.469383005769231,-9.864194225,-9.687416784615385,-9.654195209615384,-9.770077246153846,-9.826896571153846,-9.653285661538462,-9.83250309423077,-9.757974917307692,-9.782496457692307,-9.632029484615385,-9.622349840384615,-9.773563798076923,-9.682570688461539,-9.846180257692307,-9.659345096153846,-9.692956132692307,-9.685625163461538,-9.456953361538462,-9.859640538461539,-9.77076645,-9.833078621153847,-9.645604309615385,-9.854193684615385,-9.794987065384616,-9.77427370576923,-9.605837769230769,-9.834222576923077,-9.837594792307693,-9.896795923076922,-9.586127863461538,-9.586127863461538,-9.774771453846155,-9.582879219230769,-9.8377138,-9.64953893653846,-9.729091867307693,-9.658821911538462,-9.856252703846154,-9.6624258,-9.861355990384615,-9.807057698076923,-9.772578009615385,-9.63305738076923,-9.62525369423077,-9.763819348076924,-9.592630632692307,-9.83434493076923
LAYING,6,2.5979382719298245,-1.3477609666666666,-1.9237043105263156,-4.7670987877192985,9.408043405263157,3.0050541789473684,6.636878831578947,2.2174664701754385,-0.44130328245614037,-2.0668908228070175,-5.661094843859649,6.798711719298246,-5.38088137368421,-3.598495187719298,-5.178961943859649,-9.259660124561403,-9.259660124561403,-9.547505049122806,-9.089801747368421,-9.55645738245614,-9.391142542105264,-9.237067914035087,-9.380449122807017,-9.670724368421052,-9.360434201754385,-9.54425844736842,-9.354397696491228,-9.417715443859649,-9.326366128070175,-9.148004522807017,-9.486554710526315,-9.301536394736841,-9.53695957368421,-9.430718363157895,-9.365989949122806,-9.252161003508771,-9.035357840350876,-9.59161956491228,-9.281307384210526,-9.663410547368422,-9.33674494385965,-9.596460552631578,-9.553782250877193,-9.436349494736842,-9.391418785964913,-9.39611608245614,-9.586288196491228,-9.595790715789473,-8.973262459649122,-8.973262459649122,-9.50341934385965,-9.209144970175439,-9.531570015789473,-9.38918910877193,-9.37310340877193,-9.240047484210526,-9.686191594736842,-9.357174528070175,-9.63567540877193,-9.621649785964912,-9.453650978947367,-9.471367743859648,-9.053739798245614,-9.515526640350878,-9.286948901754386,-9.555046545614035
LAYING,7,2.5017669403846154,-2.0537903557692307,-1.840348448076923,-5.028142505769231,3.934442780769231,8.902301311538462,7.348960859615384,1.9620170788461537,-0.44939829230769235,-1.5450279673076923,-5.747695873076923,6.440164807692307,-5.8336653961538465,-3.2969453269230766,-4.736105598076923,-9.363920238461539,-9.363920238461539,-9.801272396153847,-9.157936348076923,-9.830088290384616,-9.534242455769231,-9.421939538461539,-9.586116446153845,-9.80393046923077,-9.725316488461539,-9.695249776923077,-9.536845476923077,-9.575702076923076,-9.569053109615385,-9.297875842307691,-9.680662592307693,-9.411307192307692,-9.741179121153847,-9.365136099999999,-9.26262668653846,-9.529783659615385,-8.992387667307693,-9.555435492307693,-9.61908984423077,-9.80977756153846,-9.730931601923077,-9.729830642307693,-9.601268225,-9.450719353846154,-9.552948905769231,-9.738372325,-9.764837273076923,-9.888718782692308,-9.03708098076923,-9.03708098076923,-9.673109323076924,-9.186624590384616,-9.712051378846153,-9.31120580576923,-9.229179023076924,-9.533806463461538,-9.835601753846154,-9.75886145,-9.750729951923077,-9.62348254423077,-9.39727873653846,-9.588764124999999,-9.004440838461539,-9.653592280769232,-9.18892518653846,-9.694030353846154
LAYING,8,2.577114424074074,-1.8369626148148148,-1.811857511111111,-4.059300361111111,5.899224348148148,7.198315392592592,7.048624742592592,2.2875865037037038,-0.8083147277777777,-1.625240898148148,-5.522992109259259,7.0206232203703705,-5.791607731481482,-3.5427681555555552,-5.134330959259259,-9.35308633888889,-9.35308633888889,-9.731474896296296,-9.242533485185184,-9.784381912962964,-9.535385638888888,-9.518166637037037,-9.44269514074074,-9.731105961111112,-9.758774374074074,-9.621111366666666,-9.579038861111112,-9.574111601851852,-9.67461239074074,-9.257147351851852,-9.617928524074074,-9.445289505555555,-9.684039459259258,-9.430412153703704,-9.3489116,-9.457512957407408,-9.3524823,-9.579900364814815,-9.487883387037037,-9.732530422222222,-9.765209520370371,-9.660875746296297,-9.652040175925926,-9.520393857407408,-9.675897546296296,-9.699240774074074,-9.741864518518518,-9.876012037037038,-9.1325033,-9.1325033,-9.629545172222223,-9.324707644444445,-9.690291116666668,-9.401252983333332,-9.375686329629628,-9.459488818518519,-9.759599114814815,-9.791708816666667,-9.68699222962963,-9.678463607407407,-9.50316470925926,-9.706719664814814,-9.09349005925926,-9.637910942592592,-9.3678697,-9.717932798148148
LAYING,9,2.591955368,-2.077328218,-1.6114146919999999,-5.802528348,-1.191541962,9.578730415999999,6.893888189999999,2.2315997039999997,-1.175613288,-1.773183358,-5.748703894,5.90512848,-5.1880482,-2.611672318,-5.425250602,-9.308684376,-9.308684376,-9.633745492,-9.071250998,-9.64524819,-9.468654939999999,-9.343665984,-9.459190006,-9.64304065,-9.640828062,-9.55909215,-9.30297921,-9.345796594,-9.598150092,-9.266042952,-9.543205856,-9.186053356,-9.558062546,-9.4233309,-9.162927763999999,-9.407072853999999,-9.218210626,-9.699944882,-9.712046902,-9.647404702,-9.639966798,-9.58562455,-9.422465098,-9.266185314,-9.615953703999999,-9.45329035,-9.621702422,-9.770761602,-9.007476258,-9.007476258,-9.550268052,-8.985578738,-9.528015598,-9.409810272,-9.128367508,-9.419711635999999,-9.686013041999999,-9.66634136,-9.597147176,-9.463891504,-9.231319366,-9.65686312,-9.053725422,-9.550947122,-9.034005814,-9.522904702
LAYING,10,2.921080417241379,-1.7750912327586206,-1.7236205896551724,-4.5306973758620694,-1.2378043965517243,-0.3112162413793106,6.992655029310344,2.5739930103448274,-0.17603389137931025,-2.0599305982758622,-5.533174936206897,7.261173696551724,-5.892638444827586,-3.7786550465517244,-5.157974593103448,-9.567818196551723,-9.567818196551723,-9.762344351724138,-9.375909987931035,-9.708308489655172,-9.691842086206897,-9.54341849137931,-9.643008451724139,-9.790146687931035,-9.680391737931034,-9.725922129310344,-9.537939120689655,-9.546700344827586,-9.697557772413793,-9.50848109137931,-9.685611215517241,-9.376926425862068,-9.609768215517242,-9.68283685,-9.464543020689655,-9.594714863793104,-9.5453194189655175,-9.667011560344829,-9.591364677586206,-9.78007466724138,-9.669307934482758,-9.76256662586207,-9.617131998275863,-9.536602075862069,-9.719405974137931,-9.659005781034482,-9.666210403448275,-9.839493027586208,-9.403016544827587,-9.403016544827587,-9.675569806896553,-9.274711655172414,-9.596329315517242,-9.679680386206897,-9.55712783275862,-9.749285382758622,-9.78904364137931,-9.681206922413793,-9.78582339137931,-9.645445663793103,-9.534534965517242,-9.752987970689656,-9.443049746551724,-9.653775534482758,-9.337013153448275,-9.607728755172413
